cycle,week_end,recipient_party,net_total,n_contributions,n_donors,n_committees
2026,2025-10-12,D,135465,477,406,122
2026,2025-10-19,D,376520,464,399,128
2026,2025-10-26,D,637154,651,508,129
2026,2025-11-02,D,163785,532,451,133
2026,2025-11-09,D,125756,481,418,124
2026,2025-11-16,D,116865,406,350,122
2026,2025-11-23,D,154342,509,451,149
2026,2025-11-30,D,122953,521,436,135
2026,2025-12-07,D,202117,520,460,144
2026,2025-12-14,D,194606,487,395,153
2026,2025-12-21,D,214628,529,464,157
2026,2025-12-28,D,169087,482,405,129
2026,2026-01-04,D,281904,418,355,144
2026,2026-01-11,D,30701,75,68,23
2026,2026-01-18,D,103202,64,58,25
2026,2026-01-25,D,34464,88,85,24
2026,2026-02-01,D,107849,106,91,33
2026,2026-02-08,D,160307,83,69,29
2026,2026-02-15,D,521809,90,71,27
2026,2026-02-22,D,127490,37,26,30
2026,2026-03-01,D,436884,35,28,14
2026,2026-03-15,D,1750,4,4,1
2026,2025-01-05,Mixed,29145,159,159,2
2026,2025-01-12,Mixed,5250,2,2,2
2026,2025-01-19,Mixed,40109,214,214,4
2026,2025-01-26,Mixed,11040,8,8,2
2026,2025-02-02,Mixed,68531,331,331,5
2026,2025-02-09,Mixed,8015,13,13,4
2026,2025-02-16,Mixed,51830,297,297,6
2026,2025-02-23,Mixed,18270,17,17,4
2026,2025-03-02,Mixed,96574,473,471,8
2026,2025-03-09,Mixed,6866,19,19,2
2026,2025-03-16,Mixed,60069,536,536,6
2026,2025-03-23,Mixed,20128,29,29,5
2026,2025-03-30,Mixed,57787,318,318,6
2026,2025-04-06,Mixed,73380,507,506,4
2026,2025-04-13,Mixed,64592,376,376,6
2026,2025-04-20,Mixed,27567,323,323,5
2026,2025-04-27,Mixed,56502,391,391,6
2026,2025-05-04,Mixed,74098,554,552,8
2026,2025-05-11,Mixed,60899,445,443,5
2026,2025-05-18,Mixed,38435,549,548,3
2026,2025-05-25,Mixed,53067,450,449,5
2026,2025-06-01,Mixed,71820,826,825,5
2026,2025-06-08,Mixed,51495,453,452,8
2026,2025-06-15,Mixed,32741,599,599,4
2026,2025-06-22,Mixed,46042,463,463,5
2026,2025-06-29,Mixed,7492,37,37,3
2026,2025-07-06,Mixed,189990,1425,1424,8
2026,2025-07-13,Mixed,7565,45,45,4
2026,2025-07-20,Mixed,92789,1088,1088,7
2026,2025-07-27,Mixed,15485,47,47,5
2026,2025-08-03,Mixed,119451,1483,1476,5
2026,2025-08-10,Mixed,7630,46,46,6
2026,2025-08-17,Mixed,75841,1160,1160,5
2026,2025-08-24,Mixed,8830,45,44,3
2026,2025-08-31,Mixed,121521,1532,1531,7
2026,2025-09-07,Mixed,3105,52,52,5
2026,2025-09-14,Mixed,56047,539,538,6
2026,2025-09-21,Mixed,37529,706,706,5
2026,2025-09-28,Mixed,65703,536,536,8
2026,2025-10-05,Mixed,333205,1197,1196,6
2026,2025-10-12,Mixed,60598,719,719,7
2026,2025-10-19,Mixed,38884,722,722,4
2026,2025-10-26,Mixed,60351,718,717,8
2026,2025-11-02,Mixed,100683,1173,1171,5
2026,2025-11-09,Mixed,55833,743,736,7
2026,2025-11-16,Mixed,38927,1229,1229,4
2026,2025-11-23,Mixed,53824,727,727,5
2026,2025-11-30,Mixed,86508,1743,1741,6
2026,2025-12-07,Mixed,66264,739,739,7
2026,2025-12-14,Mixed,20346,70,70,5
2026,2025-12-21,Mixed,132648,1913,1912,8
2026,2025-12-28,Mixed,4609,70,70,4
2026,2026-01-04,Mixed,202119,1969,1966,7
2026,2026-01-11,Mixed,10000,2,2,2
2026,2026-01-18,Mixed,49839,221,221,5
2026,2026-01-25,Mixed,6422,9,9,2
2026,2026-02-01,Mixed,82333,355,354,8
2026,2026-02-08,Mixed,8197,27,27,2
2026,2026-02-15,Mixed,55655,306,306,6
2026,2026-02-22,Mixed,10000,2,2,1
2026,2026-03-01,Mixed,85585,471,471,7
2026,2025-01-05,R,381,7,7,5
2026,2025-01-12,R,1266,14,10,9
2026,2025-01-19,R,87272,186,175,14
2026,2025-01-26,R,5523,29,19,13
2026,2025-02-02,R,61364,72,59,15
2026,2025-02-09,R,1003158,21,13,10
2026,2025-02-16,R,22550,54,34,21
2026,2025-02-23,R,4294372,47,31,19
2026,2025-03-02,R,4130150,167,116,49
2026,2025-03-09,R,31180,41,23,22
2026,2025-03-16,R,26490,51,40,20
2026,2025-03-23,R,5573902,61,23,30
2026,2025-03-30,R,1220147,583,514,51
2026,2025-04-06,R,5182990,50,26,27
2026,2025-04-13,R,3330068,47,33,18
2026,2025-04-20,R,46951,30,17,11
2026,2025-04-27,R,107930,543,523,22
2026,2025-05-04,R,10344,47,28,20
2026,2025-05-11,R,260131,54,32,20
2026,2025-05-18,R,728171,50,27,16
2026,2025-05-25,R,380765,1806,1785,24
2026,2025-06-01,R,40231,56,32,24
2026,2025-06-08,R,277714,75,64,14
2026,2025-06-15,R,23605,76,30,21
2026,2025-06-22,R,103938,1952,1926,16
2026,2025-06-29,R,10081896,78,43,31
2026,2025-07-06,R,27482659,105,63,42
2026,2025-07-13,R,127118,56,33,19
2026,2025-07-20,R,121096,1920,1895,20
2026,2025-07-27,R,29547,55,32,26
2026,2025-08-03,R,3698,61,51,20
2026,2025-08-10,R,423102,33,21,20
2026,2025-08-17,R,23009,79,57,26
2026,2025-08-24,R,4091,52,32,21
2026,2025-08-31,R,168661,1866,1849,28
2026,2025-09-07,R,33115,44,31,20
2026,2025-09-14,R,12519196,56,48,20
2026,2025-09-21,R,62678,58,47,37
2026,2025-09-28,R,183952,1891,1855,33
2026,2025-10-05,R,56715,74,43,31
2026,2025-10-12,R,20084,75,60,20
2026,2025-10-19,R,17644,59,33,18
2026,2025-10-26,R,103589,2320,2267,20
2026,2025-11-02,R,32926,71,37,23
2026,2025-11-09,R,102619,119,57,31
2026,2025-11-16,R,60441,77,33,16
2026,2025-11-23,R,153751,2342,2273,26
2026,2025-11-30,R,55484,95,45,28
2026,2025-12-07,R,18206,99,64,21
2026,2025-12-14,R,31140,82,41,24
2026,2025-12-21,R,5886362,2319,2246,25
2026,2025-12-28,R,10722,87,38,23
2026,2026-01-04,R,1825055,71,36,27
2026,2026-01-11,R,5487,15,12,7
2026,2026-01-18,R,10731,24,21,7
2026,2026-01-25,R,41730,64,62,10
2026,2026-02-01,R,1018730,980,956,13
2026,2026-02-08,R,199101,26,25,9
2026,2026-02-15,R,3738,25,19,4
2026,2026-02-22,R,489709,17,12,5
2026,2026-03-01,R,177279,190,181,8
2026,2023-11-05,Unknown,5000,1,1,1
2026,2025-01-05,Unknown,4697,96,54,16
2026,2025-01-12,Unknown,14468,133,57,15
2026,2025-01-19,Unknown,16636,178,63,15
2026,2025-01-26,Unknown,12543,120,62,20
2026,2025-02-02,Unknown,38933,119,72,21
2026,2025-02-09,Unknown,32385,134,88,24
2026,2025-02-16,Unknown,12706,140,63,18
2026,2025-02-23,Unknown,129071,169,80,27
2026,2025-03-02,Unknown,76539,209,97,24
2026,2025-03-09,Unknown,416395,185,105,33
2026,2025-03-16,Unknown,99438,205,100,25
2026,2025-03-23,Unknown,1170574,221,110,38
2026,2025-03-30,Unknown,326194,200,105,37
2026,2025-04-06,Unknown,462669,185,110,44
2026,2025-04-13,Unknown,60739,180,90,26
2026,2025-04-20,Unknown,12375,175,87,27
2026,2025-04-27,Unknown,61795,146,71,28
2026,2025-05-04,Unknown,54741,201,101,37
2026,2025-05-11,Unknown,71928,167,93,29
2026,2025-05-18,Unknown,360574,128,71,31
2026,2025-05-25,Unknown,41446,145,94,37
2026,2025-06-01,Unknown,24794,122,87,30
2026,2025-06-08,Unknown,28797,153,90,35
2026,2025-06-15,Unknown,31832,159,95,32
2026,2025-06-22,Unknown,458393,155,95,39
2026,2025-06-29,Unknown,5215597,167,99,44
2026,2025-07-06,Unknown,1181670,263,169,56
2026,2025-07-13,Unknown,22452,200,121,43
2026,2025-07-20,Unknown,128453,189,107,32
2026,2025-07-27,Unknown,26906,207,122,38
2026,2025-08-03,Unknown,31131,202,141,39
2026,2025-08-10,Unknown,289585,218,152,53
2026,2025-08-17,Unknown,21420,183,97,33
2026,2025-08-24,Unknown,25017743,190,115,42
2026,2025-08-31,Unknown,170913,183,119,38
2026,2025-09-07,Unknown,29978,227,159,48
2026,2025-09-14,Unknown,12571930,175,118,47
2026,2025-09-21,Unknown,155439,196,116,50
2026,2025-09-28,Unknown,378086,223,139,59
2026,2025-10-05,Unknown,86698,277,197,57
2026,2025-10-12,Unknown,577961,215,153,61
2026,2025-10-19,Unknown,57682,195,112,47
2026,2025-10-26,Unknown,293510,192,143,56
2026,2025-11-02,Unknown,62420,199,147,40
2026,2025-11-09,Unknown,1084726,283,181,54
2026,2025-11-16,Unknown,108464,236,130,41
2026,2025-11-23,Unknown,160859,243,140,56
2026,2025-11-30,Unknown,70290,241,158,44
2026,2025-12-07,Unknown,392848,249,174,50
2026,2025-12-14,Unknown,136334,227,134,47
2026,2025-12-21,Unknown,5080893,230,123,50
2026,2025-12-28,Unknown,18556,243,133,40
2026,2026-01-04,Unknown,116186,148,97,38
2026,2026-01-18,Unknown,2250,4,4,3
2026,2026-01-25,Unknown,1000,1,1,1
2026,2026-02-01,Unknown,7560,4,4,3
2026,2026-02-08,Unknown,5410,4,3,3
2026,2026-02-15,Unknown,885,8,4,3
2026,2026-02-22,Unknown,2780,8,6,2
2026,2026-03-01,Unknown,1712,6,5,3
2026,2026-03-15,Unknown,2025,3,3,2
2026,2026-03-22,Unknown,15,1,1,1
